QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,call_mid,put_mid,T,parity_residual,iv_gap,moneyness,side,score,label
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-21,1537560000,56.0, 0.040310, 0.005530, 0.066270, -0.011120, 0.011240,0.20543, 352.000000, 0.260000, 3 x 50,0.24,0.25,220.0,29.21,30.3, 57 x 55, 27.150000, -0.990320, 0.001570, 0.013420, -0.012040, -0.341740,0.14545, 10.000000,29.1,0.152,0.245,29.755000000000003,0.15342465753424658,-1.453354787726095,0.059980000000000006,1.1524962020011527,K>S,1.510602698726095,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-21,1537560000,56.0, 0.069130, 0.008680, 0.101210, -0.017230, 0.019450,0.20362, , 0.460000, 10 x 24,0.45,0.46,215.0,24.4,25.46, 55 x 61, 25.360000, -0.958000, 0.006500, 0.062910, -0.019570, -0.324220,0.17174, 1.000000,24.1,0.126,0.455,24.93,0.15342465753424658,-1.3877638204041673,0.03187999999999999,1.1263031065011264,K>S,1.4181916864041673,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-07,1536350400,42.0, 0.119730, 0.014630, 0.131020, -0.030200, 0.026050,0.20936, 3.000000, 0.700000, 5 x 20,0.75,0.81,207.5,16.66,19.1, 86 x 47, 0.000000, -0.893540, 0.014010, 0.117180, -0.040340, -0.221860,0.19535, ,16.6,0.087,0.78,17.880000000000003,0.11506849315068493,-1.2233459770294886,0.014009999999999995,1.087013463251087,K>S,1.2367178215294885,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-07,1536350400,42.0, 0.157850, 0.017560, 0.158300, -0.036730, 0.033860,0.21011, 28.000000, 1.100000, 10 x 6,1.08,1.14,205.0,14.54,16.91, 82 x 51, 0.000000, -0.850460, 0.017440, 0.149670, -0.048080, -0.209460,0.20062, ,14.1,0.074,1.1099999999999999,15.725,0.11506849315068493,-1.2268655686481704,0.009489999999999998,1.073916915501074,K>S,1.2359232991481703,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-21,1537560000,56.0, 0.117360, 0.012780, 0.148240, -0.025090, 0.033190,0.20363, , 0.840000, 20 x 12,0.85,0.86,210.0,19.95,20.2, 56 x 15, 19.540000, -0.930490, 0.010510, 0.096940, -0.023380, -0.308140,0.16239, 21.000000,19.1,0.1,0.855,20.075,0.15342465753424658,-1.1021728530822372,0.04124,1.1001100110011002,K>S,1.1415343710822372,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-07,1536350400,42.0, 0.205290, 0.020460, 0.186230, -0.043060, 0.044170,0.21281, 7.000000, 1.580000, 5 x 10,1.52,1.6,202.5,12.35,14.81, 54 x 53, 0.000000, -0.807420, 0.020690, 0.177330, -0.053800, -0.197240,0.19895, ,11.6,0.061,1.56,13.58,0.11506849315068493,-1.1203851602668813,0.013860000000000011,1.0608203677510608,K>S,1.1336138372668814,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-21,1537560000,56.0, 0.191270, 0.017510, 0.205950, -0.035370, 0.054500,0.20753, , 1.580000, 17 x 2,1.58,1.61,205.0,15.8,15.9, 32 x 12, 15.700000, -0.837380, 0.017570, 0.182590, -0.038950, -0.274430,0.18302, 255.000000,14.1,0.074,1.5950000000000002,15.850000000000001,0.15342465753424658,-1.1065818857603116,0.024510000000000004,1.073916915501074,K>S,1.1299754552603116,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-08-31,1535745600,35.0, 0.057240, 0.008790, 0.068990, -0.019960, 0.010320,0.21789, 5.000000, 0.340000, 10 x 49,0.29,0.33,212.5,21.9,22.84, 10 x 20, 0.000000, -0.965340, 0.006270, 0.042490, -0.027390, -0.204090,0.18605, ,21.6,0.113,0.31,22.369999999999997,0.0958904109589041,-1.0805498725975689,0.03184000000000001,1.1132065587511133,K>S,1.110939560597569,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-08-31,1535745600,35.0, 0.076810, 0.011170, 0.087060, -0.024420, 0.013820,0.2156, 45.000000, 0.460000, 20 x 11,0.42,0.45,210.0,19.6,20.4, 16 x 20, 0.000000, -0.942550, 0.009500, 0.065660, -0.033650, -0.197500,0.19261, ,19.1,0.1,0.435,20.0,0.0958904109589041,-1.0759791979537887,0.02299000000000001,1.1001100110011002,K>S,1.0979220034537887,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-08-31,1535745600,35.0, 0.107080, 0.014150, 0.110560, -0.030770, 0.019740,0.21634, 13.000000, 0.600000, 10 x 10,0.62,0.65,207.5,17.3,18.04, 28 x 20, 15.250000, -0.913880, 0.013020, 0.091870, -0.040650, -0.189450,0.19554, 39.000000,16.6,0.087,0.635,17.67,0.0958904109589041,-1.0364085233100049,0.020800000000000013,1.087013463251087,K>S,1.0562610833100048,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-08-31,1535745600,35.0, 0.143750, 0.017460, 0.135430, -0.038540, 0.025740,0.21685, 114.000000, 0.960000, 10 x 8,0.92,0.94,205.0,15.2,15.75, 10 x 20, 12.300000, -0.871320, 0.017050, 0.123240, -0.050230, -0.179040,0.20131, 24.000000,14.1,0.074,0.9299999999999999,15.475,0.0958904109589041,-1.036837848666222,0.015539999999999998,1.073916915501074,K>S,1.051670001666222,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-21,1537560000,56.0, 0.290200, 0.021430, 0.257820, -0.045260, 0.080490,0.21277, , 2.790000, 2 x 12,2.79,2.81,200.0,11.95,12.05, 29 x 30, 11.850000, -0.729300, 0.022670, 0.247380, -0.049480, -0.236150,0.19257, 198.000000,9.1,0.048,2.8,12.0,0.15342465753424658,-1.0209909184383825,0.020199999999999996,1.0477238200010477,K>S,1.0402708084383825,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-07,1536350400,42.0, 0.856070, 0.015400, 0.145390, -0.034220, 0.112770,0.25172, , 0.000000, 25 x 49,15.9,17.65,175.0,1.29,1.38, 5 x 6, 1.330000, -0.152120, 0.014490, 0.153870, -0.046320, -0.035580,0.2473, 28.000000,15.9,0.083,16.775,1.335,0.11506849315068493,-1.03410066807254,0.004420000000000007,0.9167583425009168,K<S,1.0383193370725399,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-08-24,1535140800,28.0, 0.064250, 0.010370, 0.068000, -0.024540, 0.009080,0.22674, 7.000000, 0.350000, 10 x 20,0.32,0.35,210.0,19.5,20.41, 30 x 30, 17.410000, -0.951340, 0.008770, 0.052050, -0.038770, -0.159750,0.20465, 3.000000,19.1,0.1,0.33499999999999996,19.955,0.07671232876712329,-1.0070159173636384,0.02209,1.1001100110011002,K>S,1.0280997178636384,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-08-31,1535745600,35.0, 0.190050, 0.020820, 0.162790, -0.046480, 0.033790,0.21871, 66.000000, 1.320000, 10 x 12,1.31,1.36,202.5,13.0,13.7, 60 x 10, 0.000000, -0.823830, 0.020890, 0.153460, -0.058370, -0.167690,0.20442, ,11.6,0.061,1.335,13.35,0.0958904109589041,-0.9972671740224115,0.014289999999999997,1.0608203677510608,K>S,1.0109062645224114,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-08-24,1535140800,28.0, 0.126760, 0.017140, 0.111490, -0.041090, 0.018060,0.22634, 268.000000, 0.750000, 10 x 176,0.71,0.77,205.0,15.09,15.6, 10 x 4, 12.450000, -0.885310, 0.016640, 0.102130, -0.056570, -0.146730,0.21271, 73.000000,14.1,0.074,0.74,15.344999999999999,0.07671232876712329,-0.9766969666776877,0.013630000000000003,1.073916915501074,K>S,0.9897061201776877,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-07,1536350400,42.0, 0.087520, 0.011690, 0.105210, -0.023270, 0.019050,0.20718, 96.000000, 0.510000, 21 x 34,0.51,0.57,210.0,18.3,21.35, 19 x 15, 0.000000, -0.977510, 0.005180, 0.030930, -0.019260, -0.242530,0.13751, ,19.1,0.1,0.54,19.825000000000003,0.11506849315068493,-0.9198263854107793,0.06967000000000001,1.1001100110011002,K>S,0.9863229169107793,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-07,1536350400,42.0, 0.260220, 0.023130, 0.212430, -0.049330, 0.054500,0.21529, 45.000000, 2.140000, 10 x 1,2.09,2.17,200.0,11.4,11.6, 10 x 5, 12.100000, -0.758580, 0.024040, 0.202120, -0.058070, -0.183850,0.19628, 4.000000,9.1,0.048,2.13,11.5,0.11506849315068493,-0.9589047518855658,0.01901,1.0477238200010477,K>S,0.9770488463855658,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-08-17,1534536000,21.0, 0.015620, 0.003400, 0.018570, -0.010180, 0.001400,0.24965, 140.000000, 0.060000, 59 x 14,0.06,0.07,217.5,26.75,27.7, 42 x 54, 0.000000, -0.974870, 0.004240, 0.024310, -0.037250, -0.128900,0.26504, ,26.6,0.139,0.065,27.225,0.057534246575342465,-0.9401768785736557,-0.015389999999999987,1.1393996542511395,K>S,0.9548658640736557,S1_bear
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-08-17,1534536000,21.0, 0.049710, 0.009120, 0.048500, -0.023910, 0.005720,0.23778, 690.000000, 0.220000, 46 x 18,0.23,0.23,210.0,19.55,20.24, 78 x 112, 16.850000, -0.940150, 0.009840, 0.053740, -0.051610, -0.120350,0.24814, 14.000000,19.1,0.1,0.23,19.895,0.057534246575342465,-0.9279364505110337,-0.010360000000000008,1.1001100110011002,K>S,0.9378245525110337,S1_bear
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-09-07,1536350400,42.0, 0.455400, 0.027050, 0.258930, -0.062480, 0.091180,0.22602, 48.000000, 4.950000, 97 x 10,4.81,4.96,192.5,6.65,6.85, 10 x 52, 7.070000, -0.548510, 0.028490, 0.258490, -0.072200, -0.131390,0.21168, 6.000000,1.6,0.008,4.885,6.75,0.11506849315068493,-0.9194635267416711,0.014339999999999992,1.0084341767510085,K>S,0.933150339741671,None
1532721600, 2018-07-27 16:00,2018-07-27,16.0,190.89, 2018-08-24,1535140800,28.0, 0.230850, 0.024580, 0.163260, -0.060510, 0.032760,0.23162, 219.000000, 1.580000, 1 x 124,1.61,1.63,200.0,10.95,11.41, 40 x 236, 10.900000, -0.778420, 0.024880, 0.158210, -0.076770, -0.126460,0.21902, 27.000000,9.1,0.048,1.62,11.18,0.07671232876712329,-0.9163780159917074,0.0126,1.0477238200010477,K>S,0.9284040859917074,None
